"Time","ID","Category","Group","Event","Msg. Type","Priority","Ether Type","Src. MAC","Src. Vendor","Src. Int.","Src. Zone","Dst. MAC","Dst. Vendor","Dst. Int.","Dst. Zone","Src. IP","Src. Port","Src. Name","Src.NAT IP","Src.NAT Port","In SPI","Dst. IP","Dst. Port","Dst. Name","Dst.NAT IP","Dst.NAT Port","Out SPI","IP Protocol","ICMP Type","ICMP Code","RX Bytes","TX Bytes","Access Rule","NAT Policy","User Name","Session Time","Session Type","IDP Rule","IDP Priority","HTTP OP","URL","VPN Policy","HTTP Result","Block Cat","Application","FW Action","DPI","Notes","Message","HTTP Referer"
"02/24/2026 08:19:49","12","Log","E-mail","E-mail Check Error on Load","Simple","Warning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","","","Problem sending log E-mail; check log settings",""
"02/24/2026 08:19:49","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","92.63.197.77","","","","","","69.31.226.50","443","","","","","tcp","","","","","","","discoverer_admin","0s"," ","","","","","","","","","NA","","discoverer_admin via Web from 92.63.197.77","User login denied due to bad credentials",""
"02/24/2026 08:22:42","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","92.63.197.79","","","","","","69.31.226.50","443","","","","","tcp","","","","","","","utlbstatu","0s"," ","","","","","","","","","NA","","utlbstatu via Web from 92.63.197.79","User login denied due to bad credentials",""
"02/24/2026 08:22:49","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","88.210.63.62","","","","","","69.31.226.50","443","","","","","tcp","","","","","","","boone","0s"," ","","","","","","","","","NA","","boone via Web from 88.210.63.62","User login denied due to bad credentials",""
"02/24/2026 08:25:13","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.218.138.10","","","","","","69.31.226.50","443","","","","","tcp","","","","","","","any","0s"," ","","","","","","","","","NA","","any via Web from 185.218.138.10","User login denied due to bad credentials",""
"02/24/2026 08:26:18","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","92.63.197.80","","","","","","69.31.226.50","443","","","","","tcp","","","","","","","synchronization","0s"," ","","","","","","","","","NA","","synchronization via Web from 92.63.197.80","User login denied due to bad credentials",""
"02/24/2026 08:27:59","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","88.210.63.61","","","","","","69.31.226.50","443","","","","","tcp","","","","","","","delta","0s"," ","","","","","","","","","NA","","delta via Web from 88.210.63.61","User login denied due to bad credentials",""
"02/24/2026 08:29:31","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","88.210.63.5","","","","","","69.31.226.50","443","","","","","tcp","","","","","","","nxadmin","0s"," ","","","","","","","","","NA","","nxadmin via Web from 88.210.63.5","User login denied due to bad credentials",""
"02/24/2026 08:30:45","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","195.178.136.40","","","","","","69.31.226.50","443","","","","","tcp","","","","","","","minute","0s"," ","","","","","","","","","NA","","minute via Web from 195.178.136.40","User login denied due to bad credentials",""
"02/24/2026 08:36:20","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","88.210.63.2","","","","","","69.31.226.50","443","","","","","tcp","","","","","","","digi","0s"," ","","","","","","","","","NA","","digi via Web from 88.210.63.2","User login denied due to bad credentials",""
