📋MASTER ASSET LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assets - Current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Subitems,Sortable Asset #,Asset - Category,Asset - Subcategory,Market,🗺️LOCATIONS🗺️,Brand,Model,S/N,Description,Assigned to (People),IP,Mac Addresses,Ports & Protocols,Status,Labelled?,Replacement,Health,Impact,Est. Date of Receival,OG Est. Equipment Life (Yrs),Current Est. Equipment Life (Yrs),Age (Only Year),OG vs Current Life Difference (Yrs),OG Est. End of Life Date,Current Est. End of Life,OG Equipment Life Timeline - Start,OG Equipment Life Timeline - End,Current Equipment Life Timeline - Start,Current Equipment Life Timeline - End,Est. Replacement Cost($),Est. Replacement Project Costs,Actual Acquisition ($),Vehicle - Insurance Broker,Vehicle - Insurance Provider,Vehicle - Policy #,Vehicle - Permit # / Customer #,Vehicle - Plate #,Vehicle - Lease (Mths),Vehicle - Lease Start Date,Vehicle - Lease End Date,Vehicle - Allowance/Yr (kms),Vehicle - Plate Renewal Date,FE Asset Number,Total Replacement Est. ($),Current 12 month Activity,link to 🧱TX SITE BREAKDOWN,Item ID (auto generated)
446,,446,Technical Equipment,Broadcast,Chatham,TX Site - Chatham - Fairview,Sira,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,11269343141
445,,445,Technical Equipment,Laptop,,Office - Belleville - National Media Centre,Lenovo,ThinkPad P14s Gen 6 AMD (14″) Mobile Workstation,PF60LQ02,,Rob Nowogorski,,E8:97:44:07:0A:7F,,In Use,Yes,Replace,Healthy,Medium,2026-02-04,5,5,0,,2031-02-04,2031-02-04,2026-02-04,2031-02-04,2026-02-04,2031-02-04,1800,,,,,,,,,,,,,,1800,,,11206599551
444,,444,Technical Equipment,Power,Kingston,Office - Belleville - National Media Centre,CyberPower,CP1500PFCLCDa,CXXQX7000732,UPS 1500VA,,,,,In Use,Yes,Replace,Healthy,Critical,2026-01-26,5,5,0,,2031-01-26,2031-01-26,2026-01-26,2031-01-26,2026-01-26,2031-01-26,294.4,,,,,,,,,,,,,,294.4,,,11166186081
443,,443,Technical Equipment,Power,Kingston,Office - Belleville - National Media Centre,Nice,M4000-PRO,PA00996E-96250800190,PDU - Bluebolt Enabled,,,10:65:A3:0A:06:EE,,In Use,Yes,Replace,Healthy,Critical,2026-01-30,10,10,0,,2036-01-30,2036-01-30,2026-01-30,2036-01-30,2026-01-30,2036-01-30,556.14,,,,,,,,,,,,,,556.14,,,11160432894
442,,442,Personnel Equipment,Laptop,,Office - Belleville - National Media Centre,Lenovo,ThinkPad P16s Gen 4 AMD,PF60KEQX,,John Roeper,,"A8:2B:DD:98:B1:D3, F6:28:9D:AA:8A:61",,In Use,Yes,Replace,Healthy,Medium,2026-01-22,5,5,0,,2031-01-22,2031-01-22,2026-01-22,2031-01-22,2026-01-22,2031-01-22,2000,,,,,,,,,,,,,,2000,,,11081717356
441,,441,Personnel Equipment,Laptop,,Office - Belleville - National Media Centre,Lenovo,Yoga Pro 9i,PF62HGHW,,Kathy Fowler,,28:95:29:94:69:A7,,In Use,Yes,Replace,Healthy,Medium,2025-12-16,5,5,1,,2030-12-16,2030-12-16,2025-12-16,2030-12-16,2025-12-16,2030-12-16,2200,,,,,,,,,,,,,,2200,,,10797262611
440,,440,Personnel Equipment,Laptop,,Office - Belleville - National Media Centre,Lenovo,Yoga Pro 9i,PF62ZCTP,,Richard Wand,,28:95:29:95:CA:31,,In Use,Yes,Replace,Healthy,Medium,2025-12-16,5,5,1,,2030-12-16,2030-12-16,2025-12-16,2030-12-16,2025-12-16,2030-12-16,2200,,,,,,,,,,,,,,2200,,,10797262364
439,,439,Personnel Equipment,Laptop,,Office - Belleville - National Media Centre,Apple,Macbook Pro M4 14 Inch - A3401,J9MNP6412K,,Dwayne Jamieson,,50:F2:65:F1:CD:5F,,In Use,Yes,Replace,Healthy,Medium,2025-12-15,5,5,1,,2030-12-15,2030-12-15,2025-12-15,2030-12-15,2025-12-15,2030-12-15,2289,,,,,,,,,,,,,,2289,,,10777765715
438,,438,Personnel Equipment,Laptop,,Office - Belleville - National Media Centre,Apple,Macbook Pro M4 14 Inch - A3401,FJY6WHJPMV,,John Connor,,50:F2:65:F0:9B:43,,In Use,Yes,Replace,Healthy,Medium,2025-12-15,5,5,1,,2030-12-15,2030-12-15,2025-12-15,2030-12-15,2025-12-15,2030-12-15,2289,,,,,,,,,,,,,,2289,,,10777637591
437,,437,Technical Equipment,Laptop,,Office - Belleville - National Media Centre,Lenovo,Slim 7i 14ILL10 Aura Audition,MP2TCFL5,,Brad Linnard,,9C:97:1B:37:40:88,,In Use,Yes,Replace,Healthy,Low,2025-12-05,5,5,1,,2030-12-05,2030-12-05,2025-12-05,2030-12-05,2025-12-05,2030-12-05,1500,,,,,,,,,,,,,,1500,,,10711905348
